id,name
13228055,"Cyber Crime Police Station Kaithal"
13222002,"ACB, Ambala"
13222026,"ACB, Faridabad"
13222010,"ACB, Gurugram"
13222014,"ACB, Hisar"
13222021,"ACB, Karnal"
13222023,"ACB, Panchkula"
13222025,"ACB, Rohtak"
5000004603,"acp"
132570514,"ACP  JHAJJAR 1"
132570515,"ACP  JHAJJAR 2"
132570516,"ACP  JHAJJAR 3"
132210502,"ACP AMBALA-2"
5000004608,"ACP AMBALA-3"
5000001581,"ACP B.GARH"
132570505,"ACP Badli"
5000001583,"ACP BADSHAHPUR, GURUGRAM"
132250509,"ACP BALLABHGARH 2 FARIDABAD"
132570508,"ACP Beri & ACP Crime -I"
132570511,"ACP CAW JJR"
132270524,"ACP CAW West Gurugram"
5000001584,"ACP CENTRAL"
132250508,"ACP CENTRAL-2 FARIDABAD"
5000001585,"ACP CITY"
5000004604,"ACP City"
5000004605,"ACP CITY"
132390519,"ACP CITY 1 SPT"
132390520,"ACP CITY 2 SPT"
132570507,"ACP City JJR & ACP Crime-II"
132350502,"ACP City Panchkula"
5000004607,"ACP CRIME"
132250504,"ACP Crime Faridabad"
132270503,"ACP Crime -I Gurgaon"
132350503,"ACP Crime Panchkula"
132390511,"ACP CRIME SPT"
132270519,"ACP Crime-2, Gurugram"
132390509,"ACP CYBER CRIME SPT"
13227501,"ACP Cyber GGM"
5000001586,"ACP DLF"
132270523,"ACP East Gurugram"
132270525,"ACP EOW GURUGRAM"
132390517,"ACP GANAUR SPT"
132390521,"ACP GOHANA 1 SPT"
132390522,"ACP GOHANA 2  SPT"
132570506,"ACP Headquarters JJR"
132210505,"ACP HQ AMBALA"
132250503,"ACP HQ Faridabad"
132270510,"ACP HQ Gurgaon"
5000001587,"ACP HQ PKL"
132390507,"ACP HQ SPT"
132570512,"ACP Jhajjar"
5000001588,"ACP KALKA"
132390518,"ACP KHARKHODA SPT"
132350504,"ACP Law & Order Panchkula"
132270502,"ACP Manesar Gurgaon"
5000001589,"ACP MUJJESAR"
132390516,"ACP MURTHAL SPT"
132390510,"ACP NDPS SPT"
132270522,"ACP NEW COLONY, GURUGRAM"
5000001591,"ACP NIT"
132250506,"ACP NIT-2"
132270521,"ACP Palam Vihar Gurugram"
5000001592,"ACP PATAUDI"
5000001593,"ACP PKL"
132390515,"ACP RAI SPT"
132390512,"ACP ROAD SAFETY SPT"
5000001594,"ACP SADAR"
132570517,"ACP SAHLAWAS Jhajjar"
5000001595,"ACP SARAI KHAWAJA"
132390514,"ACP SECURITY SPT"
132270501,"ACP Sohna Gurgaon"
132270518,"ACP South, Gurugram"
5000001596,"ACP TIGAON"
5000001597,"ACP TRAFFIC"
5000001598,"ACP TRAFFIC"
132570510,"ACP Traffic"
132390523,"ACP TRAFFIC GHN SPT"
132270509,"ACP Traffic Highway Gurgaon"
132350505,"ACP Traffic Panchkula"
5000004606,"ACP TRAFFIC PKL"
132390513,"ACP TRAFFIC SPT"
132250501,"ACP Traffic-I Faridabad"
132270505,"ACP Traffic-I Gurgaon"
132250502,"ACP Traffic-II Faridabad"
132270506,"ACP Traffic-II Gurgaon"
132270507,"ACP Traffic-III Gurgaon"
132270508,"ACP Traffic-IV Gurgaon"
5000001599,"ACP UDYOG"
132270520,"ACP West, Gurugram"
132250507,"ACP Women Police Station, Faridabad"
132270511,"ACP Women Police Station, Gurgaon"
132350506,"ACP Women Police Station, Panchkula"
132390508,"ACP WOMEN SAFETY  SPT"
132570509,"ACP-I Bahadurgarh"
132570513,"ACP-II Bahadurgarh"
13229003,"ADAMPUR"
13225097,"ADARSH NAGAR"
132310406,"Additional Superintendent of Police Karnal"
132320402,"Additional Superintendent of Police, Kurukshetra"
132330402,"Additional Superintendent of Police, Mahendergarh"
132603004,"Additional Superintendent of Police, Palwal"
132360402,"Additional Superintendent of Police, Rewari"
132370406,"Additional Superintendent of Police, Rohtak"
132290403,"Additional Superintendent of Police,Hisar"
132210503,"Addl. SP AMBALA"
132380502,"Addl. SP Sirsa, Sirsa"
5000004610,"Addl. SP Sirsa, Sirsa"
132400411,"Addl. SP Yamunanagar"
5000001600,"ADDL. SP."
130317,"ADGP,Cyber Crime,Haryana,Panchkula"
13229005,"AGROHA"
13230003,"ALEWA"
13820001,"AMBALA"
132211301,"AMBALA - CRIME CELL"
132211401,"AMBALA - DISTRICT CID"
132211701,"AMBALA - DISTRICT CONTROL ROOM (DCR)"
132212001,"AMBALA - DISTRICT SPECIAL CELL"
132211201,"AMBALA - ECONOMIC OFFENCES WING (EOW)"
132212101,"AMBALA - MODUS OPERANDI CELL"
132212401,"AMBALA - OPERATIONS CELL"
132211501,"AMBALA - WOMEN CHILD SUPPORT UNIT (WCSU)"
13221005,"AMBALA CANTT"
13221008,"AMBALA CITY"
5000000742,"AMBALA RANGE"
13221011,"AMBALA SADAR"
132380604,"ANC SIRSA"
132560602,"ANC Staff Fatehabad"
13222000,"ANTI CORRUPTION&VIGILANCE"
132350407,"Anti Emigration Unit, Panchkula"
132280507,"ANTI IMMIGRATION CELL KAITHAL"
132270504,"AP Crime-II Gurgaon"
13237032,"ARYA NAGAR ROHTAK"
13257026,"ASAUDA"
132230503,"ASP  BHIWANI"
5000004599,"ASP AMB"
132560402,"ASP Fatehabad"
5000001601,"ASP HANSI"
132290506,"ASP Hansi, Hisar"
132300504,"ASP HEADQUARTER, JIND"
132290507,"ASP Hisar"
5000001602,"ASP HISAR"
5000004611,"ASP KURUKSHETRA"
132320504,"ASP KURUKSHETRA"
5000004600,"ASP MEWAT"
132350501,"ASP Panchkula"
132390506,"ASP SONIPAT"
132400507,"ASP YAMUNA NAGAR"
13231005,"ASSANDH"
132250512,"ASSISTANT COMMISSIONER OF POLICE , Badkal"
132250513,"ASSISTANT COMMISSIONER OF POLICE , Old FBD"
132250510,"ASSISTANT COMMISSIONER OF POLICE Adarsh Nagar"
132250511,"ASSISTANT COMMISSIONER OF POLICE BPTP"
132250601,"Assistant Commissioner of Police Office"
132240501,"Assistant Commissioner of Police Office"
132240601,"Assistant Commissioner of Police Office"
132260601,"Assistant Commissioner of Police Office"
132270601,"Assistant Commissioner of Police Office"
132280601,"Assistant Commissioner of Police Office"
132320601,"Assistant Commissioner of Police Office"
132330601,"Assistant Commissioner of Police Office"
132340501,"Assistant Commissioner of Police Office"
132340601,"Assistant Commissioner of Police Office"
132290601,"Assistant Commissioner of Police Office"
132300601,"Assistant Commissioner of Police Office"
132310501,"Assistant Commissioner of Police Office"
132310601,"Assistant Commissioner of Police Office"
132400601,"Assistant Commissioner of Police Office"
132560501,"Assistant Commissioner of Police Office"
132560601,"Assistant Commissioner of Police Office"
132570601,"Assistant Commissioner of Police Office"
132570501,"Assistant Commissioner of Police Office"
132600601,"Assistant Commissioner of Police Office"
138200501,"Assistant Commissioner of Police Office"
138200601,"Assistant Commissioner of Police Office"
132580501,"Assistant Commissioner of Police Office"
132580601,"Assistant Commissioner of Police Office"
132380601,"Assistant Commissioner of Police Office"
132390601,"Assistant Commissioner of Police Office"
132350601,"Assistant Commissioner of Police Office"
132360601,"Assistant Commissioner of Police Office"
132370601,"Assistant Commissioner of Police Office"
132230601,"Assistant Commissioner of Police Office"
132220501,"Assistant Commissioner of Police Office"
132220601,"Assistant Commissioner of Police Office"
132210601,"Assistant Commissioner of Police Office"
139630501,"Assistant Commissioner of Police Office"
139630601,"Assistant Commissioner of Police Office"
132390524,"Assistant S.P. Sonipat"
132380402,"Assistant Superintendent of Police, Sirsa"
13233005,"ATELI"
132380605,"AVT STAFF"
132560603,"AVT Staff Fatehabad"
132300413,"AVT Staff Julana"
13229006,"AZAD NAGAR HISAR"
13232024,"BABAIN"
13223007,"BADHRA"
13259006,"BADHRA, Charkhi dadri"
13257030,"BADLI"
13227003,"BADSHAHPUR"
13239085,"BAHALGARH"
13260009,"BAHIN"
13237081,"BAHUAKBARPUR"
13227102,"BAJGHERA"
13221014,"BALDEV NAGAR"
13225003,"BALLABHGARH CITY"
13225007,"BALLABHGARH SADAR"
13234005,"BAPOLI"
13238007,"BARAGUDHA"
13265001,"BARAGUDHA"
13221016,"BARARA"
13239007,"BARAUDA"
13229011,"BARWALA"
13229095,"BASS"
13236005,"BAWAL"
13223011,"BAWANI KHERA"
13223015,"BEHAL"
13257005,"BERI"
13256005,"BHATTU KALAN"
132231301,"BHIWANI - CRIME CELL"
132231401,"BHIWANI - DISTRICT CID"
132231701,"BHIWANI - DISTRICT CONTROL ROOM (DCR)"
132232001,"BHIWANI - DISTRICT SPECIAL CELL"
132231201,"BHIWANI - ECONOMIC OFFENCES WING (EOW)"
132232101,"BHIWANI - MODUS OPERANDI CELL"
132232401,"BHIWANI - OPERATIONS CELL"
132231501,"BHIWANI - WOMEN CHILD SUPPORT UNIT (WCSU)"
13223021,"BHIWANI CITY"
13223022,"BHIWANI CIVIL LINES"
13223024,"BHIWANI SADAR"
13227004,"BHONDSI"
13256006,"BHUNA"
13225008,"BHUPANI"
13258035,"BICCHOR"
13240005,"BILASPUR"
13227020,"BILASPUR GURUGRAM"
13223025,"BOND KALAN"
13259005,"BOND KALAN, Charkhi dadri"
13240006,"BURIA"
13231011,"BUTANA"
13224001,"C I D"
132241301,"C I D - CRIME CELL"
132241401,"C I D - DISTRICT CID"
132241701,"C I D - DISTRICT CONTROL ROOM (DCR)"
132242001,"C I D - DISTRICT SPECIAL CELL"
132241201,"C I D - ECONOMIC OFFENCES WING (EOW)"
132242101,"C I D - MODUS OPERANDI CELL"
132242401,"C I D - OPERATIONS CELL"
132241501,"C I D - WOMEN CHILD SUPPORT UNIT (WCSU)"
13225009,"CAMP COLONY"
13260020,"CAMP PALWAL"
130901,"Central Investigation Department (CID)"
13225010,"CHAND HUT"
13260010,"CHAND HUT"
13221020,"CHANDI MANDIR"
13235020,"CHANDIMANDIR"
13234012,"CHANDNIBAGH"
13228007,"CHEEKA"
13240010,"CHHACHHRAULI"
13225012,"CHHANSA"
13240012,"CHHAPAR"
132253012,"CIA AVTS Bhupani Faridabad"
132253011,"CIA AVTS Sikrona  Faridabad"
132573002,"CIA Bahadurgarh"
132253003,"CIA Ballabhgarh"
132233001,"CIA Bhiwani"
132273006,"CIA Bilaspur"
132273010,"CIA C-2 Palam Vihar"
132253001,"CIA Central"
132383002,"CIA Dabwali"
132233002,"CIA Dadri"
132363002,"CIA Dharuhera"
132380603,"CIA ELLENABAD"
132583003,"CIA Firoz Pur Jhirkha"
132263001,"CIA GRP Ambala Cantt"
132293002,"CIA Hansi"
132603002,"CIA Hathin"
132293001,"CIA Hisar"
132603003,"CIA Hodal"
132333001,"CIA I Narnaul"
132333002,"CIA II Mahendragarh"
132573001,"CIA Jhajjar"
132300412,"CIA Jind"
132363003,"CIA KOSLI"
13236003,"CIA KOSLI"
132300410,"CIA Narwana"
132253002,"CIA NIT"
132583001,"CIA Nuh"
132313001,"CIA Office-1  Karnal"
132323001,"CIA Office-1 Kurukshetra"
132343001,"CIA Office-1 Panipat"
132313002,"CIA Office-2 Karnal"
132323002,"CIA Office-2 Kurukshetra"
132343002,"CIA Office-2 Panipat"
132273003,"CIA Palam Vihar Gurgaon"
132603001,"CIA Palwal"
132363001,"CIA Rewari"
132213001,"CIA Rural Ambala"
132300411,"CIA Safidon"
132273002,"CIA Sec-17"
132273008,"CIA Sec-31"
132273009,"CIA Sec-39"
132273007,"CIA Sec-43"
132273001,"CIA Sec-46"
132253009,"CIA Sec-56 Faridabad"
132253010,"CIA Sec-85 Faridabad"
132380602,"CIA SIRSA"
132383001,"CIA Sirsa"
132273005,"CIA Sohna"
132393001,"CIA Sonipat"
132563001,"CIA Staff Fatehabad"
132563002,"CIA Staff Tohana"
132403001,"CIA Staff YamunaNagar"
132283001,"CIA Staff-1 Kaithal"
132213002,"CIA Staff-1 Urban Ambala"
132283002,"CIA Staff-2 Kaithal"
132213003,"CIA Staff-2 Urban Ambala"
132283003,"CIA Staff-III Kaithal"
132653001,"CIA, Dabwali"
132653002,"CIA, Kalanwali"
132303001,"CIA-1 Jind"
132373001,"CIA-1 Rohtak"
132303002,"CIA-2 Jind"
132373002,"CIA-2 Rohtak"
132373003,"CIA-3 Rohtak"
132359901,"CID Panchkula"
13257007,"CITY BAHADURGARH"
13256007,"CITY FATEHABAD"
13257029,"CITY JHAJJAR"
13233006,"CITY KANINA"
13265002,"CITY MANDI DABWALI"
13238014,"CITY MANDI DABWALI"
13233008,"CITY NARNAUL"
13258094,"CITY NUH"
13260071,"CITY PALWAL"
13232078,"CITY PEHOWA, KURUKSHETRA"
13256027,"CITY RATIA"
13230063,"CITY SAFIDON"
13227105,"CITY SOHANA"
13258095,"CITY TAURU"
13256009,"CITY TOHANA"
13230062,"Civil line Jind"
13228008,"CIVIL LINE KAITHAL"
13239015,"CIVIL LINE SONIPAT"
13227023,"CIVIL LINES GURGAON"
132300405,"CLG Cell DPO Jind"
132380607,"CLG STAFF SIRSA"
5000000739,"COMMISSIONERATE FARIDABAD"
5000000740,"COMMISSIONERATE GURUGRAM"
130318,"COMMISSIONERATE JHAJJAR"
5000000737,"COMMISSIONERATE PANCHKULA"
132253004,"Crime Branch Border"
132253005,"Crime Branch DLF"
132253006,"Crime Branch Sector 30"
132253007,"Crime Branch Sector 48"
132253008,"Crime Branch Sector 63"
132353001,"Crime Branch-1 Panchkula"
132353002,"Crime Branch-2 Panchkula"
132300402,"Cyber Cell DPO Jind"
1326513101,"CYBER CELL, DABWALI"
1322813101,"CYBER CELL, Kaithal"
1323113101,"CYBER CELL, Karnal"
13235074,"CYBER CRIME"
13256028,"Cyber Crime Police Station Fatehabad"
13231087,"Cyber Crime police station karnal"
13234078,"Cyber Crime Police Station Panipat"
13238075,"Cyber Crime Police Station Sirsa"
13221073,"Cyber Crime Police Station, Ambala Range, Ambala Cantt"
13223084,"Cyber Crime Police Station, Bhiwani"
13227108,"Cyber Crime Police Station, Gurugram"
13232022,"CYBER CRIME POLICE STATION, KURUKSHETRA"
13240054,"Cyber Crime Police Station, Yamunanagar"
13229012,"Cyber Crime, Police Station Hisar"
13237082,"Cyber Police Station Rohtak"
13233083,"CYBER POLICE STATION, MAHENDERGARH"
13236063,"CYBER POLICE STATION, SOUTH RANGE, REWARI"
13225095,"DABUA"
13238021,"DABWALI SADAR"
13265003,"DABWALI SADAR"
13223028,"DADRI CITY"
13259002,"DADRI CITY, Charkhi dadri"
13223031,"DADRI SADAR"
13259003,"DADRI SADAR, Charkhi dadri"
13228012,"DANDH"
132211001,"DCRB (District Crime Records Bureau)"
132231001,"DCRB (District Crime Records Bureau)"
132221001,"DCRB (District Crime Records Bureau)"
132291001,"DCRB (District Crime Records Bureau)"
132301001,"DCRB (District Crime Records Bureau)"
132341001,"DCRB (District Crime Records Bureau)"
132331001,"DCRB (District Crime Records Bureau)"
132321001,"DCRB (District Crime Records Bureau)"
132311001,"DCRB (District Crime Records Bureau)"
132261001,"DCRB (District Crime Records Bureau)"
132241001,"DCRB (District Crime Records Bureau)"
132251001,"DCRB (District Crime Records Bureau)"
132281001,"DCRB (District Crime Records Bureau)"
132271001,"DCRB (District Crime Records Bureau)"
132361001,"DCRB (District Crime Records Bureau)"
132351001,"DCRB (District Crime Records Bureau)"
132371001,"DCRB (District Crime Records Bureau)"
132381001,"DCRB (District Crime Records Bureau)"
132391001,"DCRB (District Crime Records Bureau)"
138201001,"DCRB (District Crime Records Bureau)"
132601001,"DCRB (District Crime Records Bureau)"
132581001,"DCRB (District Crime Records Bureau)"
132561001,"DCRB (District Crime Records Bureau)"
132401001,"DCRB (District Crime Records Bureau)"
132571001,"DCRB (District Crime Records Bureau)"
139631001,"DCRB (District Crime Records Bureau)"
132570407,"Deputy Commissiner of Police, CRIME, JHAJJAR"
132570406,"Deputy Commissiner of Police, Headquarter, JHAJJAR"
138200401,"Deputy Commissioner of Police Office"
132350401,"Deputy Commissioner of Police Office"
132240401,"Deputy Commissioner of Police Office"
139630401,"Deputy Commissioner of Police Office"
132570408,"Deputy Commissioner of Police, BAHADURGARH"
132250406,"Deputy Commissioner of Police, Ballabgarh Faridabad"
132250401,"Deputy Commissioner of Police, Central Faridabad"
132270401,"Deputy Commissioner of Police, East Gurgaon"
132390405,"Deputy Commissioner of Police, East Sonipat"
132390404,"Deputy Commissioner of Police, Gohana Sonipat"
132570405,"Deputy Commissioner of Police, JHAJJAR"
132270411,"Deputy Commissioner of Police, Manesar Gurugram"
132250402,"Deputy Commissioner of Police, NIT Faridabad"
132210401,"Deputy Commissioner of Police, Rural Ambala"
132270406,"Deputy Commissioner of Police, South Gurgaon"
132270402,"Deputy Commissioner of Police, West Gurgaon"
132390403,"Deputy Commissioner of Police, West Sonipat"
132350404,"Deputy Commissiooner of Police Crime Panchkula"
132580505,"DEPUTY SUPERINTENDENT OF POLICE , MANDIKHEDA, NUH"
132310407,"Deputy Superintendent of Police Traffic karnal"
132600504,"Deputy Superintendent of Police, Crime Palwal"
13264506,"Deputy Superintendent of Police, HSEnB Faridabad"
13264507,"Deputy Superintendent of Police, HSEnB Gurugram"
